grade,math_score,physics_score,english_score,computer_score,chinese_score,overall
1_first,59,84,65,54,19,50
1_second,62,,58,9,46,50
2_first,44,65,39,,13,39
2_second,45,27,25,,3,22
3_first,59,28,44,,13,36
